Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
China,Honduras,1992,Exports & Imports,221,2,4.63,0.04,10218.19,10246.58,28.39,0,0.01,31.25,33.8,3,100,0,0,0,50,25,0,28.38,0,31.25,33.8,3,100,0,0,0,50,25,0,28.38,0,
China,Hungary,1992,Exports & Imports,427,101,8.94,2.05,26094,44980.5,18886.5,0.02,0.05,29.58,24.65,170,98.24,1.76,0,0,100,0,0,18884.49,2.01,29.58,24.65,170,98.24,1.76,0,0,100,0,0,18884.49,2.01,
China,Indonesia,1992,Exports & Imports,1213,822,25.39,16.69,-1082784.58,471431.49,1554216.06,1.93,0.56,43.92,13.49,1173,99.23,0.77,0,0,180,0,0,1532889.58,21317.68,43.92,13.49,1173,99.23,0.77,0,0,180,0,0,1532889.58,21317.68,
China,India,1992,Exports & Imports,627,395,13.13,8.02,-22533.52,158432.14,180965.66,0.22,0.19,45.55,10.8,624,98.08,1.92,0,0,150,0,0,72348.92,108205.45,45.55,10.8,624,98.08,1.92,0,0,150,0,0,72348.92,108205.45,
China,Ireland,1992,Exports & Imports,334,121,6.99,2.46,1830.66,23238.74,21408.08,0.03,0.03,31.02,23.59,220,99.09,0.91,0,0,150,0,0,21376.43,31.65,31.02,23.59,220,99.09,0.91,0,0,150,0,0,21376.43,31.65,
China,"Iran, Islamic Rep.",1992,Exports & Imports,709,126,14.84,2.56,234669.01,335642.18,100973.17,0.13,0.4,44.88,11.94,184,99.46,0.54,0,0,180,0,0,86636.41,14336.75,44.88,11.94,184,99.46,0.54,0,0,180,0,0,86636.41,14336.75,
China,Iraq,1992,Exports & Imports,29,38,0.61,0.77,64.56,665.68,601.12,0,0,47.06,40.8,66,100,0,0,0,100,6,0,601.12,0,47.06,40.8,66,100,0,0,0,100,6,0,601.12,0,
China,Iceland,1992,Exports & Imports,98,5,2.05,0.1,509.14,1487.75,978.61,0,0,14.2,12.18,5,100,0,0,0,20,9,0,978.61,0,14.2,12.18,5,100,0,0,0,20,9,0,978.61,0,
China,Israel,1992,Exports & Imports,219,66,4.58,1.34,-25939.31,12767.12,38706.42,0.05,0.01,27.13,8.95,131,98.47,1.53,0,0,100,0,0,38700.07,0,27.13,8.95,131,98.47,1.53,0,0,100,0,0,38700.07,0,
China,Italy,1992,Exports & Imports,1564,1779,32.74,36.11,-652763.01,1095467.65,1748230.66,2.17,1.29,40.67,28.68,2388,99.37,0.63,0,0,220,0,0,1744225.25,2454.57,40.67,28.68,2388,99.37,0.63,0,0,220,0,0,1744225.25,2454.57,
China,Jordan,1992,Exports & Imports,728,14,15.24,0.28,45198.25,70762.68,25564.43,0.03,0.08,36.32,5.62,33,100,0,0,0,100,3,0,25564.43,0,36.32,5.62,33,100,0,0,0,100,3,0,25564.43,0,
China,Japan,1992,Exports & Imports,3069,4038,64.25,81.97,-2003706.88,11678698.5,13682405.38,16.98,13.75,41.97,38.32,5156,98.86,1.14,0,0,220,0,0,13658450.1,21969.31,41.97,38.32,5156,98.86,1.14,0,0,220,0,0,13658450.1,21969.31,
China,Kazakhstan,1992,Exports & Imports,735,152,15.39,3.09,85893.2,227061.84,141168.64,0.18,0.27,32.84,7.16,200,98.5,1.5,0,0,180,0,0,129716.79,11451.85,32.84,7.16,200,98.5,1.5,0,0,180,0,0,129716.79,11451.85,
China,Kenya,1992,Exports & Imports,357,14,7.47,0.28,26943.34,29182.6,2239.26,0,0.03,33.92,10.92,50,100,0,0,0,100,6,0,2183.59,0,33.92,10.92,50,100,0,0,0,100,6,0,2183.59,0,
China,Kyrgyz Republic,1992,Exports & Imports,228,65,4.77,1.32,2189,18821.55,16632.55,0.02,0.02,29.34,14.95,95,100,0,0,0,180,3,0,16632.55,0,29.34,14.95,95,100,0,0,0,180,3,0,16632.55,0,
China,Cambodia,1992,Exports & Imports,104,8,2.18,0.16,12591.39,12769.76,178.37,0,0.01,37.71,31.81,16,100,0,0,0,80,6,0,178.37,0,37.71,31.81,16,100,0,0,0,80,6,0,178.37,0,
China,"Korea, Rep.",1992,Exports & Imports,2021,2580,42.31,52.38,-217845.5,2404899.07,2622744.58,3.25,2.83,43.38,33.61,3347,99.37,0.63,0,0,220,0,0,2614435.21,8061.58,43.38,33.61,3347,99.37,0.63,0,0,220,0,0,2614435.21,8061.58,
China,Kuwait,1992,Exports & Imports,557,12,11.66,0.24,57031.87,59950.43,2918.56,0,0.07,25.15,22.38,33,96.97,3.03,0,0,70,0,0,2918.56,0,25.15,22.38,33,96.97,3.03,0,0,70,0,0,2918.56,0,
China,Lao PDR,1992,Exports & Imports,298,63,6.24,1.28,24147.69,27827.34,3679.65,0,0.03,42.13,24.68,143,99.3,0.7,0,0,180,0,0,3662.54,17.11,42.13,24.68,143,99.3,0.7,0,0,180,0,0,3662.54,17.11,
China,Lebanon,1992,Exports & Imports,613,21,12.83,0.43,61807.82,62047.28,239.46,0,0.07,51.37,45.44,24,95.83,4.17,0,0,100,0,0,239.46,0,51.37,45.44,24,95.83,4.17,0,0,100,0,0,239.46,0,
China,Liberia,1992,Exports & Imports,43,1,0.9,0.02,115697.61,115698.34,0.72,0,0.14,25,25,1,100,0,0,0,25,25,0,0.72,0,25,25,1,100,0,0,0,25,25,0,0.72,0,
China,Libya,1992,Exports & Imports,107,3,2.24,0.06,-3168.65,86626.72,89795.37,0.11,0.1,19.33,3.95,3,100,0,0,0,50,3,0,89795.36,0,19.33,3.95,3,100,0,0,0,50,3,0,89795.36,0,
China,St. Lucia,1992,Exports & Imports,10,1,0.21,0.02,125.47,128.66,3.2,0,0,24.5,24.5,2,100,0,0,0,40,9,0,3.2,0,24.5,24.5,2,100,0,0,0,40,9,0,3.2,0,
China,Latin America & Caribbean,1992,Exports & Imports,1914,604,40.07,12.26,-831313.05,1067478.16,1898791.21,2.36,1.26,32.32,13.66,1186,98.06,1.94,0,0,180,0,0,1691800.69,204797.68,32.73,13.66,885,98.53,1.47,0,0,180,0,0,1691800.69,204797.68,
China,Sri Lanka,1992,Exports & Imports,839,39,17.56,0.79,101382.36,107051.84,5669.48,0.01,0.13,43.05,26.73,52,98.08,1.92,0,0,100,0,0,5669.48,0,43.05,26.73,52,98.08,1.92,0,0,100,0,0,5669.48,0,
China,Lithuania,1992,Exports & Imports,20,9,0.42,0.18,-3472.55,4380.1,7852.65,0.01,0.01,10.61,10.54,10,90,10,0,0,20,0,0,7781.25,71.4,10.61,10.54,10,90,10,0,0,20,0,0,7781.25,71.4,
China,Latvia,1992,Exports & Imports,27,4,0.57,0.08,-1399.21,1451.55,2850.77,0,0,11.25,14.95,4,100,0,0,0,15,6,0,2850.77,0,11.25,14.95,4,100,0,0,0,15,6,0,2850.77,0,
China,Macao,1992,Exports & Imports,1950,1709,40.82,34.69,363373.22,528652.42,165279.2,0.21,0.62,49.85,55,2236,99.37,0.63,0,0,180,0,0,164389.13,240.36,49.85,55,2236,99.37,0.63,0,0,180,0,0,164389.13,240.36,
China,Morocco,1992,Exports & Imports,444,13,9.29,0.26,63600.98,104103.02,40502.05,0.05,0.12,17.38,6.1,14,85.71,14.29,0,0,80,0,0,36469.82,4032.22,17.38,6.1,14,85.71,14.29,0,0,80,0,0,36469.82,4032.22,
China,Moldova,1992,Exports & Imports,3,1,0.06,0.02,33.16,49.46,16.3,0,0,80,80,1,100,0,0,0,80,80,0,16.3,0,80,80,1,100,0,0,0,80,80,0,16.3,0,
